mass_i,mass_j,distance,time,pos_i_x,pos_i_y,pos_j_x,pos_j_y,message_x,message_y
5.5,7.375,5.204184055328369,2.6000001430511475,5.819901,5.6726375,3.311813,1.1127003,13.458962,1.9225342
7.375,5.5,5.204184055328369,2.6000001430511475,3.311813,1.1127003,5.819901,5.6726375,10.318204,3.0648308
5.5,7.375,5.118525505065918,2.700000047683716,5.770973,5.571535,3.3529816,1.060147,13.451046,1.9105746
7.375,5.5,5.118525505065918,2.700000047683716,3.3529816,1.060147,5.770973,5.571535,10.2509985,2.980207
5.5,7.375,5.031033992767334,2.799999952316284,5.72138,5.4691925,3.3946457,1.0085187,13.444346,1.8983071
7.375,5.5,5.031033992767334,2.799999952316284,3.3946457,1.0085187,5.72138,5.4691925,10.183187,2.8950891
5.5,7.375,4.941656589508057,2.8999998569488525,5.671114,5.3655586,3.4368122,0.95785344,13.415538,1.8901126
7.375,5.5,4.941656589508057,2.8999998569488525,3.4368122,0.95785344,5.671114,5.3655586,10.114744,2.8094642
5.5,7.375,4.850336074829102,3.0,5.620165,5.260578,3.479488,0.9081924,13.380821,1.8832452
7.375,5.5,4.850336074829102,3.0,3.479488,0.9081924,5.620165,5.260578,10.042926,2.722475
5.5,7.375,4.757012844085693,3.0999999046325684,5.5685244,5.1541915,3.5226793,0.85958004,13.345972,1.8766235
7.375,5.5,4.757012844085693,3.0999999046325684,3.5226793,0.85958004,5.5685244,5.1541915,9.975428,2.638701
5.5,7.375,4.661621570587158,3.200000047683716,5.516183,5.046334,3.5663934,0.8120646,13.311012,1.8702507
7.375,5.5,4.661621570587158,3.200000047683716,3.5663934,0.8120646,5.516183,5.046334,9.925504,2.5651803
5.5,7.375,4.564094543457031,3.299999952316284,5.463132,4.9369354,3.6106365,0.7656984,13.275889,1.8641407
7.375,5.5,4.564094543457031,3.299999952316284,3.6106365,0.7656984,5.463132,4.9369354,9.876434,2.4914606
5.5,7.375,4.464357376098633,3.4000000953674316,5.409363,4.8259196,3.6554153,0.7205384,13.24062,1.8582942
7.375,5.5,4.464357376098633,3.4000000953674316,3.6554153,0.7205384,5.409363,4.8259196,9.834039,2.4188197
5.5,7.375,4.362330913543701,3.5,5.354867,4.7132025,3.700736,0.6766469,13.205241,1.8527116
7.375,5.5,4.362330913543701,3.5,3.700736,0.6766469,5.354867,4.7132025,9.7908125,2.3457127
5.5,7.375,4.257929801940918,3.5999999046325684,5.2996364,4.598693,3.7466047,0.6340922,13.169803,1.847395
7.375,5.5,4.257929801940918,3.5999999046325684,3.7466047,0.6340922,5.2996364,4.598693,9.743181,2.2754192
5.5,7.375,4.151062965393066,3.6999998092651367,5.2436643,4.4822903,3.7930264,0.5929495,13.132851,1.8303864
