,edge,message_x,message_y,dx,dy,r,mass_j,time
60,"(1, 0)",0.051665314,0.04792253,-1.7552995681762695,3.4155378341674805,3.840178966522217,1.75,0.010000000707805157
61,"(2, 0)",0.1385973,0.18767849,-5.8994927406311035,4.051741600036621,7.156858921051025,1.75,0.010000000707805157
62,"(0, 1)",-0.3447738,0.30014166,1.7552995681762695,-3.4155378341674805,3.840178966522217,3.75,0.010000000707805157
63,"(2, 1)",0.13397148,0.24325594,-4.144193172454834,0.6362037658691406,4.192742824554443,3.75,0.010000000707805157
64,"(0, 2)",-0.59628385,0.4206109,5.8994927406311035,-4.051741600036621,7.156858921051025,4.5,0.010000000707805157
65,"(1, 2)",-0.32006055,0.22836179,4.144193172454834,-0.6362037658691406,4.192742824554443,4.5,0.010000000707805157
66,"(1, 0)",0.05168026,0.047947705,-1.7559776306152344,3.414785146713257,3.8398196697235107,1.75,0.010999999940395355
67,"(2, 0)",0.13859604,0.18768343,-5.899575710296631,4.0511884689331055,7.156613826751709,1.75,0.010999999940395355
68,"(0, 1)",-0.34475383,0.30010256,1.7559776306152344,-3.414785146713257,3.8398196697235107,3.75,0.010999999940395355
69,"(2, 1)",0.13395892,0.24322414,-4.1435980796813965,0.6364035606384277,4.192184925079346,3.75,0.010999999940395355
70,"(0, 2)",-0.5962549,0.42058748,5.899575710296631,-4.0511884689331055,7.156613826751709,4.5,0.010999999940395355
71,"(1, 2)",-0.32004002,0.22835588,4.1435980796813965,-0.6364035606384277,4.192184925079346,4.5,0.010999999940395355
72,"(1, 0)",0.051695198,0.047972865,-1.7566556930541992,3.414032220840454,3.8394603729248047,1.75,0.012000000104308128
73,"(2, 0)",0.1385947,0.18768835,-5.899658203125,4.05063533782959,7.156368732452393,1.75,0.012000000104308128
74,"(0, 1)",-0.3447339,0.3000634,1.7566556930541992,-3.414032220840454,3.8394603729248047,3.75,0.012000000104308128
75,"(2, 1)",0.13394566,0.24319175,-4.143002510070801,0.6366033554077148,4.19162654876709,3.75,0.012000000104308128
76,"(0, 2)",-0.596226,0.4205641,5.899658203125,-4.05063533782959,7.156368732452393,4.5,0.012000000104308128
77,"(1, 2)",-0.32001954,0.22835004,4.143002510070801,-0.6366033554077148,4.19162654876709,4.5,0.012000000104308128
78,"(1, 0)",0.05171012,0.04799801,-1.757333755493164,3.413278818130493,3.8391008377075195,1.75,0.013000000268220901
79,"(2, 0)",0.13859335,0.18769315,-5.899739742279053,4.050082206726074,7.156123161315918,1.75,0.013000000268220901
80,"(0, 1)",-0.3447139,0.3000243,1.757333755493164,-3.413278818130493,3.8391008377075195,3.75,0.013000000268220901
81,"(2, 1)",0.13393237,0.24315932,-4.142405986785889,0.636803150177002,4.191067218780518,3.75,0.013000000268220901
82,"(0, 2)",-0.59619695,0.4205407,5.899739742279053,-4.050082206726074,7.156123161315918,4.5,0.013000000268220901
83,"(1, 2)",-0.319999,0.2283442,4.142405986785889,-0.636803150177002,4.191067218780518,4.5,0.013000000268220901
84,"(1, 0)",0.051725045,0.048023164,-1.758011817932129,3.412525177001953,3.8387413024902344,1.75,0.014000000432133675
85,"(2, 0)",0.13859205,0.18769807,-5.8998212814331055,4.049527645111084,7.155876159667969,1.75,0.014000000432133675
86,"(0, 1)",-0.34469384,0.29998517,1.758011817932129,-3.412525177001953,3.8387413024902344,3.75,0.014000000432133675
87,"(2, 1)",0.13391903,0.24312687,-4.141809463500977,0.6370024681091309,4.190507888793945,3.75,0.014000000432133675
88,"(0, 2)",-0.5961678,0.42051715,5.8998212814331055,-4.049527645111084,7.155876159667969,4.5,0.014000000432133675
89,"(1, 2)",-0.31997842,0.22833821,4.141809463500977,-0.6370024681091309,4.190507888793945,4.5,0.014000000432133675
90,"(1, 0)",0.05174,0.04804834,-1.758690357208252,3.411771297454834,3.838381767272949,1.75,0.015000000596046448
91,"(2, 0)",0.13859068,0.1877029,-5.899902820587158,4.048973083496094,7.155629634857178,1.75,0.015000000596046448
92,"(0, 1)",-0.34467384,0.299946,1.758690357208252,-3.411771297454834,3.838381767272949,3.75,0.015000000596046448
93,"(2, 1)",0.13390575,0.24309444,-4.141212463378906,0.6372017860412598,4.189948558807373,3.75,0.015000000596046448
94,"(0, 2)",-0.5961387,0.42049372,5.899902820587158,-4.048973083496094,7.155629634857178,4.5,0.015000000596046448
95,"(1, 2)",-0.3199578,0.22833234,4.141212463378906,-0.6372017860412598,4.189948558807373,4.5,0.015000000596046448
96,"(1, 0)",0.051754937,0.048073515,-1.7593684196472168,3.4110167026519775,3.838021755218506,1.75,0.01600000075995922
97,"(2, 0)",0.13858932,0.18770775,-5.8999834060668945,4.048418045043945,7.15538215637207,1.75,0.01600000075995922
98,"(0, 1)",-0.34465376,0.2999068,1.7593684196472168,-3.4110167026519775,3.838021755218506,3.75,0.01600000075995922
99,"(2, 1)",0.1338924,0.2430619,-4.140614986419678,0.6374015808105469,4.189388275146484,3.75,0.01600000075995922
100,"(0, 2)",-0.5961096,0.42047003,5.8999834060668945,-4.048418045043945,7.15538215637207,4.5,0.01600000075995922
101,"(1, 2)",-0.3199372,0.22832644,4.140614986419678,-0.6374015808105469,4.189388275146484,4.5,0.01600000075995922
102,"(1, 0)",0.051769875,0.048098676,-1.7600469589233398,3.410261869430542,3.8376622200012207,1.75,0.017000000923871994
103,"(2, 0)",0.13858798,0.18771258,-5.900063991546631,4.047863006591797,7.155134677886963,1.75,0.017000000923871994
104,"(0, 1)",-0.34463367,0.2998676,1.7600469589233398,-3.410261869430542,3.8376622200012207,3.75,0.017000000923871994
105,"(2, 1)",0.1338791,0.24302939,-4.140017032623291,0.637601375579834,4.188827991485596,3.75,0.017000000923871994
106,"(0, 2)",-0.5960803,0.42044654,5.900063991546631,-4.047863006591797,7.155134677886963,4.5,0.017000000923871994
107,"(1, 2)",-0.31991658,0.22832051,4.140017032623291,-0.637601375579834,4.188827991485596,4.5,0.017000000923871994
108,"(1, 0)",0.05178479,0.048123844,-1.7607250213623047,3.4095067977905273,3.8373024463653564,1.75,0.018000001087784767
109,"(2, 0)",0.13858657,0.18771732,-5.900143623352051,4.047307968139648,7.154886245727539,1.75,0.018000001087784767
110,"(0, 1)",-0.34461364,0.29982838,1.7607250213623047,-3.4095067977905273,3.8373024463653564,3.75,0.018000001087784767
111,"(2, 1)",0.13386576,0.24299687,-4.139418601989746,0.6378011703491211,4.188266277313232,3.75,0.018000001087784767
112,"(0, 2)",-0.5960512,0.420423,5.900143623352051,-4.047307968139648,7.154886245727539,4.5,0.018000001087784767
113,"(1, 2)",-0.31989592,0.22831455,4.139418601989746,-0.6378011703491211,4.188266277313232,4.5,0.018000001087784767
114,"(1, 0)",0.051799715,0.04814899,-1.7614030838012695,3.4087512493133545,3.836942195892334,1.75,0.01900000125169754
115,"(2, 0)",0.13858518,0.18772212,-5.9002227783203125,4.046751976013184,7.154636859893799,1.75,0.01900000125169754
116,"(0, 1)",-0.34459352,0.29978922,1.7614030838012695,-3.4087512493133545,3.836942195892334,3.75,0.01900000125169754
117,"(2, 1)",0.13385247,0.24296433,-4.138819694519043,0.6380009651184082,4.187705039978027,3.75,0.01900000125169754
118,"(0, 2)",-0.59602195,0.42039934,5.9002227783203125,-4.046751976013184,7.154636859893799,4.5,0.01900000125169754
119,"(1, 2)",-0.31987524,0.22830859,4.138819694519043,-0.6380009651184082,4.187705039978027,4.5,0.01900000125169754
120,"(1, 0)",0.051814646,0.048174195,-1.7620816230773926,3.4079954624176025,3.8365824222564697,1.75,0.020000001415610313
121,"(2, 0)",0.13858375,0.18772689,-5.900301933288574,4.046195983886719,7.154387950897217,1.75,0.020000001415610313
122,"(0, 1)",-0.34457338,0.29974988,1.7620816230773926,-3.4079954624176025,3.8365824222564697,3.75,0.020000001415610313
123,"(2, 1)",0.13383909,0.24293175,-4.138220310211182,0.6382007598876953,4.187143325805664,3.75,0.020000001415610313
124,"(0, 2)",-0.59599274,0.42037567,5.900301933288574,-4.046195983886719,7.154387950897217,4.5,0.020000001415610313
125,"(1, 2)",-0.31985453,0.22830275,4.138220310211182,-0.6382007598876953,4.187143325805664,4.5,0.020000001415610313
