,Epoch,L1R
0,1,0.42789784023679567
1,2,7.957503827614407
2,3,2.6883372627844753
3,4,0.7864348491366575
4,5,0.7064698644209372
5,6,0.988595597353138
6,7,0.230102310430057
7,8,0.10649238946794902
8,9,0.04023562638468834
9,10,0.03476430744727475
10,11,0.07310496261648712
11,12,0.03874599238306154
12,13,0.04577930129928398
13,14,0.46157927274207133
14,15,1.850474697927339
15,16,0.21151682087633633
16,17,0.11447627792146339
17,18,0.14452835026362046
18,19,0.11871252775003974
19,20,0.7945994679433891
20,21,0.1170314231139592
21,22,0.10252810718732114
22,23,0.05452724866501156
23,24,0.12242397748364318
24,25,0.04548562710711851
25,26,0.09775834257890954
26,27,0.16093458263582813
27,28,0.16674806960476662
28,29,0.10391709970263123
29,30,0.13541995314352032
30,31,0.026588744085336805
31,32,0.05454438571879216
32,33,0.09194489011692644
33,34,0.22586183655086559
34,35,0.11040391888767306
35,36,0.16365347558084267
36,37,0.08378391301117222
37,38,0.037664501827713914
38,39,0.04777403493075623
39,40,0.07129772986202465
