,Epoch,L1R
0,1,0.08824972700935577
1,2,0.06746583838508655
2,3,0.024731405775880032
3,4,0.018974540980819857
4,5,0.010646586767834842
5,6,0.008744204439805007
6,7,0.0073926211284724395
7,8,0.00686425265511568
8,9,0.007866438269241048
9,10,0.004181653433871432
10,11,0.0075020691826287065
11,12,0.003020347297486603
12,13,0.0016344814077654402
13,14,0.0012606501822990505
14,15,0.001435607323600597
15,16,0.0008596538166667804
16,17,0.001415640392638705
17,18,0.0013568829105667613
18,19,0.0010892435716160752
19,20,0.0014617588747328659
20,21,0.0006062844798929512
21,22,0.00121794046583804
22,23,0.0017213200728700092
23,24,0.0012886606948935295
24,25,0.0008561665389635934
25,26,0.0008931376763145134
26,27,0.0011938486823483015
27,28,0.002375460842372022
28,29,0.004729074141952219
29,30,0.0009295366101961927
30,31,0.0022940470050858363
31,32,0.0010942865829579268
32,33,0.0016437865091428324
33,34,0.022064490369409304
34,35,0.002066601811280863
35,36,0.00288848141318102
36,37,0.0020739148509467085
37,38,0.0011021233550800019
38,39,0.001178665004103191
39,40,0.0009136398016181325
