Complexity,Loss,Equation
1,1.9653993e-5,"0.025964756"
5,1.5610947e-5,"0.026349343 - (0.37073094 / r3)"
7,1.1521191e-5,"(-0.14075181 / (r3 * dy)) - -0.026067967"
9,7.4226027e-6,"0.025964756 - (0.0238049 / ((r3 * 0.05017409) + dy))"
11,9.543227e-7,"(-0.033943076 / ((r3 / mass_j) - (dx * dy))) - -0.025980156"
13,6.996639e-7,"((-0.033943076 * 1.1375431) / ((r3 / mass_j) - (dx * dy))) - -0.025980156"
